firm,year,pat_any,lgspilltec1,lgspillsic1,lgmalspilltec1,lgmalspillsic1,lgrd1,lsales1,lgrd1_dum
8,2000,0,10.82403,7.587653,12.13225,8.900565,6.263545,8.362642,0
8,2001,0,10.83716,7.612088,12.15012,8.927635,6.294789,8.24591,0
9,1981,0,9.489343,7.497152,11.05738,8.156482,4.250251,5.241747,0
9,1982,1,9.520271,7.519922,11.09128,8.177608,4.189936,5.293305,0
9,1983,0,9.544745,7.549514,11.12152,8.201815,4.129602,5.267858,0
9,1984,1,9.567658,7.594481,11.15035,8.238267,4.095838,5.501258,0
9,1985,1,9.626043,7.664765,11.20387,8.293632,4.085562,5.777652,0
9,1986,0,9.679132,7.735919,11.25458,8.352814,4.048983,5.493062,0
9,1987,1,9.736401,7.7975,11.31047,8.41138,4.014165,5.484797,0
9,1988,0,9.785307,7.871824,11.35807,8.478596,4.027026,5.7301,0
9,1989,0,9.834127,7.945656,11.40727,8.546395,4.032584,5.846439,0
9,1990,0,9.883251,8.014566,11.45764,8.611579,4.010072,5.762052,0
9,1991,1,9.923901,8.090628,11.50116,8.681292,4.006779,5.693732,0
9,1992,1,9.96257,8.158278,11.53952,8.744374,4.019019,5.587249,0
9,1993,1,9.996735,8.22284,11.57438,8.803179,4.005897,5.57973,0
9,1994,1,10.02361,8.301659,11.60169,8.868273,3.991312,5.686975,0
9,1995,1,10.04473,8.389581,11.62404,8.940598,4.014242,5.846439,0
9,1996,1,10.09132,8.501762,11.66747,9.037357,4.011488,5.913503,0
9,1997,1,10.11622,8.633223,11.69666,9.145614,4.006326,5.929589,0
9,1998,0,10.1491,8.777592,11.73707,9.267023,3.99912,6.073044,0
9,1999,0,10.18267,8.896048,11.77798,9.373059,4.008936,6.016157,0
9,2000,0,10.20438,9.017842,11.8086,9.474583,4.014977,6.122493,0
9,2001,0,10.21669,9.155485,11.83005,9.591842,3.982622,6.335054,0
10,1981,0,8.500088,5.26476,10.09569,7.887509,3.557104,5.241747,0
10,1982,1,8.528348,5.411179,10.12478,7.934278,3.496789,5.153292,0
10,1983,0,8.552108,5.523838,10.15101,7.982089,3.386667,4.976734,0
10,1984,0,8.580069,5.626183,10.17912,8.040925,3.224148,4.997212,0
10,1985,0,8.632232,5.722195,10.23655,8.108294,3.061629,4.962845,0
10,1986,1,8.685537,5.808684,10.29239,8.177032,2.89911,4.983607,0
10,1987,1,8.747931,5.903003,10.35595,8.253583,2.736591,5.010635,0
10,1988,1,8.802239,5.997324,10.41026,8.328908,2.574072,5.010635,0
10,1989,0,8.856045,6.110018,10.46531,8.411148,2.411553,5.01728,0
10,1990,0,8.90836,6.225623,10.52113,8.496304,2.249034,5.135798,0
10,1991,0,8.953141,6.32353,10.56755,8.576745,2.086515,5.17615,0
10,1992,0,8.994084,6.412482,10.60997,8.65365,1.923997,5.075174,0
10,1993,0,9.032125,6.502882,10.64818,8.729845,1.761478,5.17615,0
10,1994,0,9.065998,6.585122,10.6799,8.796587,1.598959,4.983607,0
10,1995,0,9.099816,6.666967,10.70956,8.862473,1.43644,4.584968,0
10,1996,0,9.150969,6.766337,10.76435,8.946482,1.273921,4.644391,0
10,1997,0,9.193766,6.872426,10.80365,9.026806,1.111402,4.779123,0
10,1998,0,9.233273,6.968215,10.84834,9.10785,.948883,4.844187,0
10,1999,0,9.269895,7.06287,10.893,9.195882,.786364,4.890349,0
10,2000,0,9.29614,7.133926,10.92247,9.268003,.6238451,4.927254,0
10,2001,0,9.314505,7.212532,10.94769,9.335913,.4613262,5.062595,0
11,1981,0,8.118594,3.813307,9.629327,4.45667,-1,2.484907,1
11,1982,0,8.160727,3.813037,9.664897,4.484486,-1,2.484907,1
11,1983,0,8.200521,3.818995,9.699426,4.509408,-1,2.484907,1
11,1984,0,8.247686,3.835218,9.7322,4.538882,-1,2.772589,1
11,1985,0,8.308019,3.848384,9.791083,4.563874,-1,2.944439,1
